split,label,source_image,roi_file
train,lane_in,data/tusimple/test_set/clips/0530/1492626474960184894_0/20.jpg,data/processed/train/lane_in/test_set_clips_0530_1492626474960184894_0_20.jpg
train,lane_in,data/tusimple/train_set/clips/0313-1/3480/20.jpg,data/processed/train/lane_in/train_set_clips_0313-1_3480_20.jpg
train,lane_out,data/tusimple/train_set/clips/0601/1494452859883982445/20.jpg,data/processed/train/lane_out/train_set_clips_0601_1494452859883982445_20.jpg
train,lane_out,data/tusimple/test_set/clips/0531/1492729140532526751/20.jpg,data/processed/train/lane_out/test_set_clips_0531_1492729140532526751_20.jpg
train,lane_in,data/tusimple/train_set/clips/0313-1/33480/20.jpg,data/processed/train/lane_in/train_set_clips_0313-1_33480_20.jpg
train,lane_in,data/tusimple/train_set/clips/0313-2/14520/20.jpg,data/processed/train/lane_in/train_set_clips_0313-2_14520_20.jpg
train,lane_in,data/tusimple/train_set/clips/0313-1/28800/20.jpg,data/processed/train/lane_in/train_set_clips_0313-1_28800_20.jpg
train,lane_in,data/tusimple/train_set/clips/0313-2/3240/20.jpg,data/processed/train/lane_in/train_set_clips_0313-2_3240_20.jpg
train,lane_out,data/tusimple/test_set/clips/0530/1492638727846022775_0/20.jpg,data/processed/train/lane_out/test_set_clips_0530_1492638727846022775_0_20.jpg
train,lane_out,data/tusimple/test_set/clips/0531/1492626271917313999/20.jpg,data/processed/train/lane_out/test_set_clips_0531_1492626271917313999_20.jpg
train,lane_in,data/tusimple/test_set/clips/0601/1494453409643085329/20.jpg,data/processed/train/lane_in/test_set_clips_0601_1494453409643085329_20.jpg
train,lane_out,data/tusimple/test_set/clips/0530/1492638193166776661_0/20.jpg,data/processed/train/lane_out/test_set_clips_0530_1492638193166776661_0_20.jpg
train,lane_out,data/tusimple/train_set/clips/0601/1494453303689525366/20.jpg,data/processed/train/lane_out/train_set_clips_0601_1494453303689525366_20.jpg
train,lane_in,data/tusimple/train_set/clips/0313-1/30720/20.jpg,data/processed/train/lane_in/train_set_clips_0313-1_30720_20.jpg
train,lane_out,data/tusimple/test_set/clips/0531/1492630283155342441/20.jpg,data/processed/train/lane_out/test_set_clips_0531_1492630283155342441_20.jpg
train,lane_out,data/tusimple/train_set/clips/0531/1492636896716300957/20.jpg,data/processed/train/lane_out/train_set_clips_0531_1492636896716300957_20.jpg
train,lane_in,data/tusimple/test_set/clips/0530/1492638252131107643_0/20.jpg,data/processed/train/lane_in/test_set_clips_0530_1492638252131107643_0_20.jpg
